"symptom","category","subcategory","question","question_korean","id","source","is_relevant","labeler"
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Details of the complaint","timing","Do your mood changes or behavioral issues occur more frequently when you have been drinking?","음주 후 기분 변화나 행동 문제가 더 자주 발생하나요?",72,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Details of the complaint","aggravating factors","Have you noticed any specific alcohol types or quantities that worsen your symptoms?","증상을 악화시키는 특정 알코올 종류나 양을 알고 있습니까?",73,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Details of the complaint","associated symptoms","Do you experience periods of significantly increased energy or euphoria?","에너지가 크게 증가하거나 기분이 고양되는 시기가 있습니까?",74,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Review of systems","psychological","Have you experienced episodes of extreme irritability or aggressive behavior?","극도의 짜증 또는 공격적인 행동을 겪은 적이 있습니까?",75,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Review of systems","sleep patterns","Has your sleep pattern changed since the onset of these symptoms, such as experiencing insomnia or hypersomnia?","이러한 증상이 시작된 이래로 수면 패턴에 변화가 있었나요? 예를 들어 불면증이나 과다수면을 경험하는 등의 변화가 있습니까?",76,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Review of systems","cognitive functions","Have you noticed any difficulties with concentration or decision-making?","집중력이나 의사결정에 어려움을 겪은 적이 있습니까?",77,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Lifestyle details","alcohol consumption","Can you describe your typical alcohol consumption habits?","일반적인 음주 습관에 대해 설명해 주실 수 있나요?",78,"gpt-4-turbo",NA,NA
"알콜사용에 의한 기타 정신 및 행동 장애 F108, 상세불명의 조증 에피소드 F309","Lifestyle details","response to stress","How do you usually handle stress or emotional distress?","보통 스트레스나 감정적 고통을 어떻게 처리하시나요?",79,"gpt-4-turbo",NA,NA
"인슐린-비의존 당뇨병 E119, 고혈압 I109, 상세불명의 고지질혈증 E785, 상세불명의 만성 간염 K739","Details of the complaint","severity","How would you rate your blood sugar level fluctuations on a scale from 1 (mild) to 10 (severe)?","혈당 변동을 1(가벼움)에서 10(심각함)까지 어느 정도로 평가하시겠습니까?",80,"gpt-4-turbo",NA,NA
"인슐린-비의존 당뇨병 E119, 고혈압 I109, 상세불명의 고지질혈증 E785, 상세불명의 만성 간염 K739","Review of systems","cardiovascular","Have you experienced any symptoms such as chest pain, palpitations, or shortness of breath?","가슴 통증, 심계항진 또는 숨가쁨과 같은 증상이 있었습니까?",81,"gpt-4-turbo",NA,NA
"인슐린-비의존 당뇨병 E119, 고혈압 I109, 상세불명의 고지질혈증 E785, 상세불명의 만성 간염 K739","Details of the complaint","timing","Do your symptoms worsen after eating or during physical activities?","식사 후 또는 신체 활동 중 증상이 악화됩니까?",82,"gpt-4-turbo",NA,NA
"인슐린-비의존 당뇨병 E119, 고혈압 I109, 상세불명의 고지질혈증 E785, 상세불명의 만성 간염 K739","Review of systems","gastrointestinal","Have you noticed any changes in your appetite, nausea, or abnormal bowel movements?","식욕 변화, 메스꺼움 또는 비정상적인 배변 활동을 느낀 적이 있습니까?",83,"gpt-4-turbo",NA,NA
"인슐린-비의존 당뇨병 E119, 고혈압 I109, 상세불명의 고지질혈증 E785, 상세불명의 만성 간염 K739","Review of systems","hepatic","Have you observed any yellowing of the skin or eyes, known as jaundice?","황달로 알려진 피부나 눈의 황변을 관찰한 적이 있습니까?",84,"gpt-4-turbo",NA,NA
"기타 관절의 원발성 관절증/손 M1904, 작열통 G564","Details of the complaint","location","Can you specify which joints in your hands are affected?","손의 어느 관절에 문제가 있습니까?",85,"gpt-4-turbo",NA,NA
"기타 관절의 원발성 관절증/손 M1904, 작열통 G564","Details of the complaint","severity","How would you rate the pain in your hands on a scale of 1 to 10?","1에서 10까지의 척도에서 손의 통증을 어떻게 평가하시겠습니까?",86,"gpt-4-turbo",NA,NA
"기타 관절의 원발성 관절증/손 M1904, 작열통 G564","Details of the complaint","timing","Do you experience the pain in your hands constantly or intermittently?","손의 통증이 지속적으로 있습니까, 아니면 간헐적입니까?",87,"gpt-4-turbo",NA,NA
"기타 관절의 원발성 관절증/손 M1904, 작열통 G564","Details of the complaint","aggravating factors","Are there specific activities that increase the pain in your hands?","손의 통증을 증가시키는 구체적인 활동이 있습니까?",88,"gpt-4-turbo",NA,NA
"기타 관절의 원발성 관절증/손 M1904, 작열통 G564","Details of the complaint","associated symptoms","Have you noticed any numbness, tingling, or weakness in your hands?","손에 저림, 따끔거림 또는 약함을 느낀 적이 있습니까?",89,"gpt-4-turbo",NA,NA
"기타 관절의 원발성 관절증/손 M1904, 작열통 G564","Review of systems","neurological","Do you experience episodes of sharp, shooting pain along the nerves in your hands?","손의 신경을 따라 날카롭고 쏘는 듯한 통증을 경험한 적이 있습니까?",90,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Details of the complaint","timing","When did you first notice symptoms related to your reproductive health?","생식 건강과 관련된 증상을 처음으로 언제 눈치채셨나요?",91,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Details of the complaint","severity","How severe are any pains or discomforts in the pelvic area?","골반 부위의 통증이나 불편함의 심각성은 얼마나 됩니까?",92,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Review of systems","gastrointestinal","Have you experienced any abnormal digestive symptoms lately?","최근 소화기 증상의 이상을 겪은 적이 있습니까?",93,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Review of systems","endocrine","Are there any changes in your energy levels or unusual weight gain?","에너지 수준에 변화나 평소와 다른 체중 증가가 있었나요?",94,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Past medical history","hormonal conditions","Have you been previously diagnosed with any hormonal or endocrine disorders?","호르몬 또는 내분비 장애로 진단받은 적이 있습니까?",95,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Details of the complaint","associated symptoms","Have you noticed any unusual hair growth or skin changes?","평소와 다른 털이 자라거나 피부 변화를 느꼈던 적이 있습니까?",96,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Review of systems","menstrual","Have there been any recent changes in your menstrual cycle?","최근 생리주기에 변화가 있었습니까?",97,"gpt-4-turbo",NA,NA
"여성생식기관 검사물의 상세불명의 이상소견 R87.9, 부신증식 E27.8, 기타 및 상세불명의 난소낭 N83.2, 소화관의 기타 부분의 진단영상검사상 이상소견 R93.3, 부신의 양성 신생물 D35.0","Review of systems","reproductive","Are there any specific discomforts during intercourse?","성교 시 특별한 불편함이 있으십니까?",98,"gpt-4-turbo",NA,NA
"상세불명의 만성 위염","Details of the complaint","severity","How severe is your stomach pain on a scale of 1 to 10?","위통의 심각성을 1부터 10까지의 척도로 얼마나 되나요?",99,"gpt-4-turbo",NA,NA
"상세불명의 만성 위염","Details of the complaint","timing","Do you notice if your stomach pain occurs after eating or at a specific time of day?","특정 시간에 또는 식사 후에 위통이 발생하는지 알고 계십니까?",100,"gpt-4-turbo",NA,NA
"상세불명의 만성 위염","History of present illness","associated symptoms","Have you experienced any nausea, vomiting, or loss of appetite?","메스꺼움, 구토, 식욕 감소를 경험한 적이 있습니까?",101,"gpt-4-turbo",NA,NA
"상세불명의 만성 위염","Review of systems","digestive","Have you noticed any changes in your bowel movements or stool color?","대변의 변화나 변색을 눈치채셨나요?",102,"gpt-4-turbo",NA,NA
"상세불명의 만성 위염","Review of systems","weight change","Have you experienced any unintentional weight loss recently?","최근에 의도하지 않은 체중 감소가 있었습니까?",103,"gpt-4-turbo",NA,NA
"상세불명의 만성 위염","Review of systems","general wellbeing","Have you been feeling more fatigued or weak lately?","최근에 더 피곤하거나 약해진 느낌이 드십니까?",104,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Details of the complaint","location","Do you feel pressure or pain in any specific part of your face or head?","얼굴 또는 머리의 특정 부위에 압박감이나 통증을 느끼십니까?",105,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Details of the complaint","severity","How severe is your sinus pain on a scale from 1 to 10?","1에서 10 사이의 척도로 부비동 통증이 얼마나 심합니까?",106,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Details of the complaint","timing","Is your sinus pain worse during certain times of the day or under any specific conditions?","일정 시간이나 특정 조건에서 부비동 통증이 더 심해집니까?",107,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Details of the complaint","aggravating factors","Do certain activities or environmental factors worsen your sinus symptoms?","특정 활동이나 환경적 요인으로 부비동 증상이 악화됩니까?",108,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Details of the complaint","associated symptoms","Are you experiencing any nasal congestion, discharge, or reduced sense of smell?","코 막힘, 콧물, 또는 후각 감소 증상이 있습니까?",109,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Review of systems","respiratory","Do you have difficulty breathing or frequent sneezing?","호흡곤란이나 자주 재치기를 합니까?",110,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Review of systems","general health","Have you had any fevers or unexplained weight loss?","열이 나거나 설명할 수 없는 체중 감소가 있었습니까?",111,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Review of systems","oral health","Have you noticed any recent changes or issues with your dental health which could relate to sinus problems?","부비동 문제와 관련될 수 있는 치과 건강의 최근 변화나 문제를 알아차린 적이 있습니까?",112,"gpt-4-turbo",NA,NA
"기타 만성 부비동염, R/O Odontogenic sinusitis Lt, J342 Fungal sinusitis Lt, 편위된 비중격, 코선반의 비대, R/O 부비동의 기타 폴립","Review of systems","ENT","Have you observed any changes in your hearing or frequent ear infections?","청력 변화나 자주 발생하는 귀 감염을 관찰한 적이 있습니까?",113,"gpt-4-turbo",NA,NA
